filename,relative_path,duration_sec,transcript,notes,character
tran0401.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0401.wav,11.714,"In this exercise, Commander, we'll show you how to build and command offensive units. You may be a hot shot pilot, but rest assured you'll find comfort in numbers if you find yourself attacking enemy installations.",,Lieutenant Corbett
tran0402.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0402.wav,8.092,Engineering has tooled your Recycler to build a wide variety of munitions. Use the command interface to order the Recycler to build a Scout.,,Lieutenant Corbett
tran0403.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0403.wav,2.075,Order the Recycler to build a Factory.,Unused voiceover.,
tran0404.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0404.wav,8.417,Good. All factories require a power source just like the Recycler. Use your command interface to order the Unit Factory to deploy on a geyser.,Unused voiceover.,
tran0405.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0405.wav,7.535,You've now built an offensive unit. Let's use your offensive scout to attack an enemy target. Open a comms channel with your scout.,,Lieutenant Corbett
tran0406.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0406.wav,3.495,Press the <kbd>1</kbd> key to have your Recycler build a Scout.,,Lieutenant Corbett
tran0407.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0407.wav,6.49,"You can command a wingman just like a Turret, but the wingman does not have to deploy in order to be effective in combat.",,Lieutenant Corbett
tran0408.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0408.wav,14.756,"I've put a Nav Beacon in the combat area. Nav Beacons serve as spy cameras in the world, and you can also use them as staging points for gathering units. Hit the <kbd>4</kbd> key to access the list of active cameras. Then hit the <kbd>1</kbd> key to select the first camera.",,Lieutenant Corbett
tran0409.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0409.wav,3.738,Notice the spy camera in the top right corner of your HUD.,,Lieutenant Corbett
tran0410.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0410.wav,2.438,Open a comms channel with your wingman.,,Lieutenant Corbett
tran0411.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0411.wav,4.296,Order your wingman to the active Nav Beacon by hitting the <kbd>Alt</kbd> key.,,Lieutenant Corbett
tran0412.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0412.wav,4.783,Wingmen will automatically engage enemy targets when they come into close proximity.,,Lieutenant Corbett
tran0413.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0413.wav,7.059,Notice how your wingman blinks in the radar when it is under attack. This will inform you whenever one of your units is under attack.,,Lieutenant Corbett
tran0414.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0414.wav,3.762,Kick back and watch your wingman take care of business.,,Lieutenant Corbett
tran0415.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0415.wav,3.599,Good work. Use your scout to destroy the next drone.,,Lieutenant Corbett
tran0416.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0416.wav,3.297,Stop before you get into range of the enemy unit.,,Lieutenant Corbett
tran0417.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0417.wav,1.858,Don't engage the drone.,,Lieutenant Corbett
tran0418.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0418.wav,2.74,Hit the <kbd>T</kbd> key to target the drone.,,Lieutenant Corbett
tran0419.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0419.wav,1.997,Now open a comms channel with your wingman.,Unused voiceover.,
tran0420.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0420.wav,8.29,Press the <kbd>3</kbd> key to see the available enemy targets and then pick the target you would like your wingman to attack. You can fight with your wingman if you'd like.,,Lieutenant Corbett
tran0421.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0421.wav,3.204,"Good job, Commander. Now head back to the base.",,Lieutenant Corbett
tran0422.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0422.wav,2.525,Order your Factory to deploy on a power supply.,Unused voiceover.,
tran0423.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0423.wav,2.824,Point your smart reticle at a geyser and press the space bar.,Unused voiceover.,
tran0424.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0424.wav,1.95,Select the Recycler.,,Lieutenant Corbett
tran0425.wav,Battlezone/Combat Exercises/Attack and Destroy/tran0425.wav,2.252,Send the Recycler to a geyser.,,Lieutenant Corbett
tran0301.wav,Battlezone/Combat Exercises/Bio-metal Scavenging/tran0301.wav,21.616,"In this mission, we'll introduce you to factories. Factories reprocess a material we call bio-metal scrap into new vehicles, weapons, and supplies. We found scrap fields around the moon that probably came from meteor showers. Engineering has created Scavenger units which are like big mobile vacuum cleaners designed to gather scrap.",,Lieutenant Corbett
tran0302.wav,Battlezone/Combat Exercises/Bio-metal Scavenging/tran0302.wav,7.697,The Recycler is the key unit in building a base. I've set it as your active objective. Open a comms channel with the Recycler.,,Lieutenant Corbett
tran0303.wav,Battlezone/Combat Exercises/Bio-metal Scavenging/tran0303.wav,15.94,The Recycler exists in a deployed and mobile state. It can only build units when it is deployed over a geyser power source. This Recycler is currently deployed. Press the <kbd>0</kbd> key to get it to pack up and ready to relocate to a geyser near a scrap field.,,Lieutenant Corbett
